"Company Name","Company Site","Company Industries","Report Link","Report Year","Mean Hourly Gap","Median Hourly Gap","Mean Bonus Gap","Median Bonus Gap","Mean Hourly Gap Part Time","Median Hourly Gap Part Time","Mean Hourly Gap Part Temp","Median Hourly Gap Part Temp","Percentage Bonus Paid Female","Percentage Bonus Paid Male","Percentage BIK Paid Female","Percentage BIK Paid Male","Q1 Female","Q1 Men","Q2 Female","Q2 Male","Q3 Female","Q3 Male","Q4 Female","Q4 Male","Percentage Employees Female","Percentage Employees Male"
"Zurich (3 legal entities)",https://www.zurich.ie/,"Insurance,Financial",https://web.archive.org/web/20230403162934/https://www.zurich.ie/-/media/project/zurichie/zurichmainsite/files/gender-pay-gap-report/7503_gender-pay-report_zl-lob-7503-1222.pdf?la=en&hash=31D4844375BAB94C60ADFD2E4E897B29523351EB,2022,32,26,63,31,30,34,-20,-14,88,88,90,91,56,44,56,44,44,56,33,67,48,52
3M,https://www.3mireland.ie/3M/en_IE/company-uk/,Manufacturing,https://multimedia.3m.com/mws/media/2264329O/ireland-gender-pay-gap-report-2023.pdf,2023,9.1,2,51,15,,,,,26,15,95,97,33,65,34,66,37,63,27,73,,
"A&L Goodbody (excluding equity partners)",https://www.algoodbody.com/,Law,https://www.algoodbody.com/images/uploads/services/Employment/Gender_Pay_Gap_report_2023_FINAL.pdf,2023,21.3,24.8,41.4,30.8,-20.9,-22.1,-0.4,-0.2,46.5,58.2,91.4,85.2,61.3,38.7,80.2,19.8,66.5,33.5,55.5,44.5,66,34
AA,https://www.theaa.ie/,"Insurance,Automotive",https://www.theaa.ie/wp-content/uploads/2023/12/2023-AA-Ireland-Gender-Pay-Gap-Report.pdf,2023,5,16,-51,-34,-63,7,2,23,73,77,36,29,57,43,30,70,16,84,26,73,32,68
"Abbott Ireland (all legal entities)",https://www.ie.abbott/homepage.html,Pharmaceutical,https://www.ie.abbott/content/dam/corp/abbott/en-ie/documents/pdf/GenderPayGap-Ireland2023.pdf,2023,10.2,7.5,15.7,5.9,-30.2,-26,8.2,2.2,81.9,79.1,84,82.2,49.7,50.3,51.2,48.8,47.3,52.7,37,63,,
"AbbVie Sligo",https://www.abbvie.ie/,Pharmaceutical,https://www.abbvie.ie/content/dam/abbvie-dotcom/ie/documents/AbbVie_Gender_Gap_Report_2023_Sligo.pdf,2023,7.6,9.9,10.6,6,20.4,24.4,8.8,3.1,94.4,95.3,91,88.7,39.7,60.3,33.3,66.7,30.4,69.9,27.2,72.8,33.5,67.5
"AbbVie Westport (Allergan)",https://www.abbvie.ie/,Pharmaceutical,https://www.abbvie.ie/content/dam/abbvie-dotcom/ie/documents/AbbVie_Gender_Gap_Report_2023_Westport.pdf,2023,12,6.9,13,-22.3,,,3.4,6.2,93.2,95.7,81,85,52.1,47.9,42.7,57.3,38.2,61.8,35.5,64.5,42,58
"ABM (formerly Momentum Support)",https://abmireland.com/,"Facilities Services",https://abmireland.com/wp-content/uploads/2023/12/ABM-Ireland-Gender-Pay-Gap-Report-2023-Reg-No-IE091300.pdf,2023,5.6,1.8,41.6,-17.3,0.4,1.5,,,2.2,4.2,0.8,2.8,77.8,22.2,70.4,29.6,65.1,34.9,64.4,35.6,69,31
"ABP Food Group: C&D Foods",https://cdfoods.com/,"Food & Drink",https://cdfoods.com/wp-content/uploads/2023/12/CD-Gender-Pay-Report-2023.pdf,2023,15.8,0,80.1,0,,,,,93.2,94.5,,,46.3,53.7,19.8,80.2,45.5,54.5,34.1,65.9,,
"ABP Food Group: Irish Country Meats",https://irishcountrymeats.com/,"Food & Drink",https://irishcountrymeats.com/wp-content/uploads/2023/12/ICM-Gender-Pay-Report-2023.pdf,2023,15.9,12.7,61.9,0,,,,,72.2,84.9,,,42.3,57.7,27.7,72.3,11.6,88.4,21.4,78.6,26,74
Abtran,https://www.abtran.com/,"Professional Services",https://www.abtran.com/wp-content/uploads/2023/12/Abtran-Gender-Pay-Gap-Report-2023.pdf,2023,13.9,1.58,41.79,0,-5.51,-3.07,25.76,26.03,38.45,40.06,1.71,0.06,60.98,39.02,57.62,42.38,59.95,40.05,48.58,51.42,,
Accenture,https://www.accenture.com/ie-en,"Professional Services,Consultancy",https://www.accenture.com/ie-en/about/inclusion-diversity/ireland-gender-pay-gap,2023,9.14,2.03,19.69,11.42,30.94,17.84,0.07,0.65,85,86,80,78,53,47,48,52,51,49,45,55,49.6,50.4
Actavo,https://actavo.com/,"Professional Services",https://actavo.com/images/uploads/general/Actavo_Group_Limited_Gender_Pay_Gap_Report_2023.pdf,2023,6.3,13.9,7.6,-83.3,,,,,45.7,37.2,,,,,,,,,,,12,88
"Adare Manor",https://www.adaremanor.com/,"Hospitality,Hotel",https://adaremanor2pro.wpenginepowered.com/wp-content/uploads/2024/01/Gender-Pay-Gap-Report-2023-Adare-Manor_-1.pdf,2023,10.23,3.85,101,47,0.01,0,,,3.67,5.92,3.11,5.92,46.5,53.5,52.02,47.98,43.43,56.57,36.55,63.45,,
Aecom,https://aecom.com/ie/,"Construction,Engineering",https://publications.aecom.com/media/files/gender_pay_gap/2023/aecom_ireland_gender-pay-gap-report_2023.pdf,2023,17.6,25.3,19.9,-25,-2,27.6,-11.1,-0.1,33,36,92,93,46,54,43,57,26,74,25,75,35,65
"Aer Lingus (all legal entities)",https://www.aerlingus.com/html/en-US/home.html,Aviation,https://www.aerlingus.com/media/pdfs/AerLingusGenderPayGapReport-2023.pdf,2023,32.7,20.2,65.3,41.2,43.2,9.8,0.9,-2.5,70.9,31.5,2.5,7.5,55.6,44.4,53.7,46.3,53.2,46.8,24.2,75.8,46.66,53.34
AerCap,https://www.aercap.com/,Aviation,https://www.aercap.com/_assets/_e78ed700b44da86de406d18d8cfb531f/aercap/db/655/13440/pdf/AerCap+Gender+Pay+Gap+Report+2023.pdf,2023,52,31,66,46,,,,,86,92,86,93,71,29,48,52,42,58,29,71,44,66
AerNav,https://www.airnav.ie/,Aviation,https://www.airnav.ie/getattachment/3fec330c-ef04-4f9f-a79d-c7276e43e748/23-12-18-AirNav-Ireland-Gender-Pay-Gap-Report-2023.pdf?lang=en-IE&ext=.pdf,2023,15,26,,,-89,-179,,,,,0,0.4,57,53,18,82,23,77,21,79,27,73
AIB,https://aib.ie/,"Banking,Financial",https://aib.ie/content/dam/aib/personal/docs/help-and-guidance/AIB-gender-pay-gap-report-2023.pdf,2023,18.9,13.1,5,23.9,-0.6,-0.9,4.4,8.7,1.1,2.1,87.7,85.4,58.6,41.4,62.4,37.6,62.7,37.3,40.9,59.1,,
"AIG (both legal entities)",https://www.aig.ie/,Insurance,https://www.aig.ie/content/dam/aig/emea/ireland/documents/misc/aig-ireland-gender-pay-gap-report%202023_ada-version.pdf,2023,28.2,29.4,53,31,,,-0.2,1.1,94,96,86,85,54,46,59,41,44,56,29,71,,
"Airbnb Ireland UC",https://www.airbnb.ie/,"Technology,Software",https://news.airbnb.com/wp-content/uploads/sites/4/2023/12/Airbnb-Ireland-Gender-Pay-Gap-Report-2023.pdf,2023,21.5,23.7,14.7,31.3,,,,,96.8,97.6,100,100,63.9,36.1,60.4,39.6,57.3,42.7,48.5,51.5,58,42
"Alcon Ireland",https://www.alcon.com/,"Pharmaceutical,Medical",https://alcon.widen.net/s/9qc5xwvmws/gender_pay_gap_report_2023_uk,2023,4.4,10.2,-1.6,8.7,-15.9,-23.2,39.4,34,100,100,100,100,45.5,54.5,43.1,56.9,32,68,34.1,65.9,,
"ALDI Ireland",https://www.aldi.ie/,Retail,https://cdn.aldi-digital.co.uk/70nm4STH02n@@19iswh1AoIfTTA.pdf,2023,12.49,2.56,-3.9,0,2.15,1.24,-14.47,-24.38,9.7,7.8,16.1,21.5,54,46,54,46,51,49,41,59,,
Alexion,https://alexion.com/worldwide/Ireland,Pharmaceutical,https://alexion.com/documents/alexion_gender_pay_gap_report_2023,2023,24.6,14.7,42.7,7.9,24,24.5,13.1,14,78.9,83.7,84.9,86.9,56.5,43.5,50.2,49.8,39.1,60.9,40.1,59.9,46,54
"Alliance Medical",https://www.alliancemedical.ie/,Healthcare,https://www.alliancemedical.ie/wp-content/uploads/2023/12/2023-Gender-Pay-Gap-Report.pdf,2023,0.32,35.09,55,-1.25,-24.21,-15.86,,,4,7,32.11,48.41,92,8,77,23,61,39,70,30,75,25
"Allianz Ireland",https://www.allianz.ie/,"Insurance,Financial",https://www.allianz.ie/content/dam/onemarketing/azie/allianz-ireland/en_us/documents/about/Allianz_Ireland_Gender_Pay_Gap_Dec_23_V12.pdf,2023,19.72,16.2,32.08,27.84,-8,-7.53,7.04,1.72,85.98,88.14,69.6,78.42,60.9,39.1,54.49,45.51,57.69,42.31,37.42,62.58,,
"Amazon Data Services Ireland Ltd",https://www.amazon.co.uk/,"Technology,Software",https://assets.aboutamazon.com/df/ba/0167994d45818b56351503d012e2/amazon-gender-pay-gap-report-2023.pdf,2023,9.4,10.2,13.3,19.1,,,-22.2,-37.1,87,84.6,91,92.1,22,78,16,84,15,85,12,88,,
"Amazon Development Centre Ireland Ltd ",https://www.amazon.co.uk/,"Technology,Software",https://assets.aboutamazon.com/df/ba/0167994d45818b56351503d012e2/amazon-gender-pay-gap-report-2023.pdf,2023,15.2,17.5,29,32.4,,,-1.5,-0.8,96.1,98.1,93.7,96.5,22,78,13,87,9,91,7,93,,
"Amazon Ireland Support Services Ltd ",https://www.amazon.co.uk/,"Technology,Software",https://assets.aboutamazon.com/df/ba/0167994d45818b56351503d012e2/amazon-gender-pay-gap-report-2023.pdf,2023,0.8,-6.8,-11.2,-29.4,-19.7,-4.7,-5.8,-0.6,91.7,85.4,88.6,73.7,46,54,51,49,61,39,49,51,,
"Amundi Ireland",https://www.amundi.ie/retail,Financial,https://www.amundi.ie/retail/ezjscore/call/ezjscamundibuzz::sfForwardFront::paramsList=service=ProxyGedApi&routeId=_dl_c4a1de2f-a6f8-4443-921e-66ee7186a171_inline,2023,39.8,16.1,68,25,30.5,30.8,19.2,-0.7,96.8,92.3,96,96.2,42.7,57.3,36.7,63.3,41.8,58.2,17.8,82.2,34.7,65.3
"An Garda Síochána: Garda Members",https://garda.ie/en/,"Public Service",https://www.garda.ie/en/about-us/our-departments/human-resources-and-people-development/garda-hr-directorate/an-garda-siochana-gender-pay-gap-report-2023.pdf,2023,4.86,3.87,,,-10.5,-6.51,,,,,,,37,63,34,66,24,76,18,82,33,67
"An Garda Síochána: Garda Staff",https://garda.ie/en/,"Public Service",https://www.garda.ie/en/about-us/our-departments/human-resources-and-people-development/garda-hr-directorate/an-garda-siochana-gender-pay-gap-report-2023.pdf,2023,3.1,-9.6,,,-6.47,-21.57,-2.07,-1.25,,,,,66,34,66,34,85,16,67,33,71,29
"An Post",https://www.anpost.com/,"Public Service,Logistics",https://www.anpost.com/getmedia/5063a6b3-ecba-4136-86fe-491e66584c77/AN-POST-GENDER-REPORT-2023.pdf,2023,-3.8,-0.2,6.69,10.51,-11.43,-6.68,-5.44,7.5,11.4,6.36,0.27,0.3,31,69,17,83,17,83,32,68,,
"Analog Devices",https://www.analog.com/en/index.html,"Technology,Hardware",https://www.analog.com/media/en/company-csr/2023-ireland-pay-gap-analysis.pdf,2023,21.9,2.05,32.9,41.2,-22.6,2.9,,,97.9,98.6,99,99.7,30.7,69.3,22.4,77.6,13.4,86.6,12.3,87.7,,
"Aon Ireland (all legal entities)",https://www.aon.com/ireland/default.jsp,Insurance,https://www.aon.com/getmedia/904cd6dc-569e-4efd-babb-d6cd61c20891/Aon-Ireland-Gender-Pay-Gap-Report-2023-(Final).pdf,2023,39.6,26.1,71.1,47.9,81.8,63.2,73.5,4.1,84.7,87.4,95.4,95.6,65.3,34.7,61.4,38.6,51.9,48.1,28.6,71.4,,
"Apple Ireland (all legal entities)",https://www.apple.com/ie/,"Technology,Software,Hardware",https://www.apple.com/ie/legal/more-resources/docs/ie-gender-pay-gap-report-2023.pdf,2023,10,4,17,3,-33,-7,-8,-21,88,88,99,99,48,52,43,57,44,56,38,62,,
Applegreen,https://applegreenstores.com/,Retail,https://applegreenstores.com/wp-content/uploads/2023/12/AG-Gender-Pay-Gap_2023.pdf,2023,8.15,0.46,58.68,63.77,0.85,0.78,,,21,15,4.1,3,55.8,44.2,52.1,47.9,50,50,52.7,47.3,53,47
"Applus Car Testing Services Ltd. (Fortnightly) ",https://www.applus.com/global/en/,"Testing,Inspection",https://www.ncts.ie/media/z1ubnjo1/2023_gender_pay_gap_report.pdf,2023,8.86,0.11,0,0,0.29,0.08,-0.78,-0.78,0,0,0,8.33,25,75,50,50,25,75,0,100,,
"Applus Car Testing Services Ltd. (Monthly)",https://www.applus.com/global/en/,"Testing,Inspection",https://www.ncts.ie/media/z1ubnjo1/2023_gender_pay_gap_report.pdf,2023,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,,
"Applus Inspection Services Ltd. Ireland (Fortnightly)",https://www.applus.com/global/en/,"Testing,Inspection",https://www.ncts.ie/media/z1ubnjo1/2023_gender_pay_gap_report.pdf,2023,32.34,36.09,47.08,41.52,6.82,3.15,0,0,58.59,93.6,1.01,4.73,46.34,53.66,1.96,98.04,0,100,0,100,,
"Applus Inspection Services Ltd. Ireland (Monthly)",https://www.applus.com/global/en/,"Testing,Inspection",https://www.ncts.ie/media/z1ubnjo1/2023_gender_pay_gap_report.pdf,2023,37.89,46.13,0,100,0,0,0,0,0,2.2,0,33.33,60,40,20,80,13.33,86.67,0,100,,
Arachas,https://www.arachas.ie/,Insurance,https://www.arachas.ie/media/boknvjsv/gpg-arachas-final-2023.pdf,2023,31,28,57,41,42,42,5,0,81,0,0.5,1.3,61,39,70,30,63,37,33,67,,
"Aramark: Avoca Handweavers Shops Limited",https://www.avoca.com/en,Retail,https://northerneurope.aramark.com/content/dam/aramark/ireland/pdfs/gender-pay-pdfs/Gender%20Pay%20Gap%20Report%202023.pdf,2023,4,2.4,33.4,28.7,6.6,2.3,,,3.1,1.3,0.6,0.6,50.3,49.7,61.6,38.4,57.9,42.1,64.7,35.3,,
"Aramark: Campbell Catering Limited",https://northerneurope.aramark.com/ie/home,"Food & Drink,Catering",https://northerneurope.aramark.com/content/dam/aramark/ireland/pdfs/gender-pay-pdfs/Gender%20Pay%20Gap%20Report%202023.pdf,2023,11.8,3.2,67.1,37.4,-0.5,-0.3,,,4.4,5.4,1.4,2.4,50,50,64,36,62,38,72,28,,
"Aramark: Vector Workplace and Facility Management Limited",https://northerneurope.aramark.com/ie/home,"Facilities Services",https://northerneurope.aramark.com/content/dam/aramark/ireland/pdfs/gender-pay-pdfs/Gender%20Pay%20Gap%20Report%202023.pdf,2023,29.8,25.3,-9.4,4.8,7.1,1.5,37.4,6.1,1,5.6,2.8,29.8,15.3,84.7,53.4,46.6,69.1,30.9,79.4,20.6,,
"Arcadis (DPS Group Global)",https://www.dpsgroupglobal.com/,"Project Management,Engineering",https://www.dpsgroupglobal.com/wp-content/uploads/2023/12/Gender-Pay-Gap-Ireland-2023-Updated.pdf,2023,23.4,23.4,59.9,16.7,-10.5,-14.7,11.5,10.2,54,57,70,75,46,54,44,56,30,70,22,78,34.3,65.7
Ardmac,https://www.ardmac.com/,Construction,https://www.ardmac.com/report-on-the-gender-pay-gap-at-ardmac-2023/,2023,13,-17,42,20,,,,,69,42,,,,,,,,,,,14,86
Argos,https://www.argos.co.uk/features/republic-of-ireland,Retail,https://www.about.sainsburys.co.uk/~/media/Files/S/Sainsburys/CRS%20Policies%20and%20Reports/ROI%20Pay%20Gap%202023.pdf,2023,2.89,0.56,13.04,0.47,0.18,-0.77,4.07,2.44,94.25,92.75,0.38,0.48,51.28,48.72,62.39,37.61,55.56,44.44,53.85,46.15,,
Arrabawn,https://arrabawn.ie/,Agriculture,https://arrabawn.ie/wp-content/uploads/2023/12/Arrabawn-Gender-Pay-Gap-2023.12.pdf,2023,5.8,8.7,46,57,-30.9,-22.3,10.9,13.9,29,49,0,7,28,72,22,78,13,87,17,83,19.8,80.2
"Arthur Cox (including partners)",https://www.arthurcox.com/,Law,https://www.arthurcox.com/wp-content/uploads/2023/12/Gender-Pay-Gap-Report-2023-FINAL.pdf,2023,56,14,75,53,-31,0,-2,0,85,88,65,61,67,33,74,26,70,30,53,47,66,34
Arup,https://www.arup.com/,"Consultancy,Engineering",https://web.archive.org/web/20240114155441/https://www.arup.com/-/media/arup/files/publications/i/ireland-gender-pay-gap-report-2023.pdf,2023,18,21.1,31.3,25,14.7,27.3,13.6,0,92.1,91.9,0.9,1.8,49.5,50.5,51.7,48.3,33.3,66.7,25.7,74.3,42,58
"ARYZTA Bakeries Ireland",https://aryzta.ie/,"Food & Drink",https://aryzta.ie/wp-content/uploads/2023/12/AFSI-ABI-Gender-Paygap-Report-2023-1.pdf,2023,11.9,16.8,-43.9,-165.2,13.7,33.4,,,31,64,1,1,57,43,33,67,25,75,25,75,,
"ARYZTA Food Solutions Ireland",https://aryzta.ie/,"Food & Drink",https://aryzta.ie/wp-content/uploads/2023/12/AFSI-ABI-Gender-Paygap-Report-2023-1.pdf,2023,-5.7,-30.5,20.4,-9.6,0.1,-52.4,,,81,44,13,19,16,84,30,70,43,57,33,67,,
"Astellas Ireland (all legal entities)",https://www.astellas.com/ie,Pharmaceutical,https://www.astellas.com/ie/system/files/astellas_2023_ire_gender_pay_gap_report_v2.0.pdf,2023,4.1,14.2,-16.1,1.9,-91.9,-71.7,-11.5,-3,83.7,88.8,87.1,93.6,63,37,46,54,48,52,21,79,,
AtkinsRéalis,https://www.atkinsrealis.com/,"Construction,Engineering",https://www.atkinsrealis.com/~/media/Files/A/atkinsrealis/download-centre/en/report/gender-pay-gap-report-ireland.pdf,2023,19.1,21.5,30,76.6,-10.8,-13,,,53,54.1,4.5,9.1,26,74,27,73,15,85,7,93,21,79
"Atlantic Technological University (formerly Galway-Mayo Institute of Technology)",https://www.gmit.ie/,Education,https://www.atu.ie/sites/default/files/2024-01/atu-gender-pay-gap-report-2023-.pdf,2023,9.6,12.6,,,12.5,10.1,13.4,25.9,,,,,64,36,58,42,53,47,48,52,56,44
"Aurivo Co-operative Society Ltd",https://www.aurivo.ie/,Agriculture,https://www.aurivo.ie/wp-content/uploads/2024/01/SF-Aurivo-Gender-Pay-Gap-2023-v1.pdf,2023,1.6,-5.5,3.9,-2,-8.5,12.5,15.6,15.2,55,52,3,3.8,20,80,11,89,27,73,16,84,19,81
Autodesk,https://www.autodesk.eu/,"Technology,Software",https://damassets.autodesk.net/content/dam/autodesk/www/pdfs/autodesk-gender-pay-gap-report-ireland-2023.pdf,2023,10.73,2.73,16.1,9.72,,,,,94.57,94.7,100,100,52.86,47.14,42.86,57.14,51.43,48.57,37.14,62.86,,
Avaya,https://www.avaya.com/en/,"Technology,Software",https://www.avaya.com/en/documents/avaya-ireland-gender-pay-gap-report-2023.pdf,2023,14.4,17.7,-15.8,27.7,,,,,96.6,95,17,42.3,35,63,37,63,20,80,13,87,,
Aviva,https://www.aviva.ie/,"Insurance,Financial",https://web.archive.org/web/20240113140550/https://static.aviva.io/content/dam/aviva-public/ie/pdfs/gender-pay-gap-report-2023.pdf,2023,23.1,24.6,40.1,26.7,73.8,60.6,-12,-0.7,88.5,88.2,65.4,69.6,61,39,68,32,56,44,38,62,,
"Aviva Group Services",https://www.aviva.ie/group/,"Insurance,Financial",https://web.archive.org/web/20240113140550/https://static.aviva.io/content/dam/aviva-public/ie/pdfs/gender-pay-gap-report-2023.pdf,2023,22.1,21.9,43.4,27,74.1,76.2,-10.8,-5.5,89.9,88,68.5,71.1,59,41,69,31,52,48,37,63,,
"AWS EMEA SARL (Irish Branch)",https://aws.amazon.com/?nc2=h_lg,"Technology,Software",https://assets.aboutamazon.com/df/ba/0167994d45818b56351503d012e2/amazon-gender-pay-gap-report-2023.pdf,2023,9,11,4.2,15.8,,,13.7,0,96.4,96.4,93.8,94.6,36,64,26,74,18,82,19,81,,
"Axa Insurance",https://www.axa.ie/,Insurance,https://www.axa.ie/download/axa-insurance-dac-gender-pay-gap-report-2023.pdf,2023,11.3,-0.5,17.5,1.3,-2.2,-8,,,91,89,17,20,53,47,49,51,63,37,41,59,52,48
"B&Q Ireland",https://www.diy.ie/,Retail,https://media.diy.com/is/content/KingfisherDigital/generic-BQ-ROI-Gender-Pay-Gap-Report-2023-FINAL~c9b5321f91b9965a83a310f3cde11f63413575dcpdf,2023,3,-7.9,47.7,0,-7.3,-8,0.9,-0.7,87.7,78.1,24.6,16.5,37,63,46,54,65,35,47,53,49,51
"BAM Ireland: Building",https://www.bamireland.ie/,Construction,https://www.bamireland.ie/wp-content/uploads/2023/12/BAM-Ireland-Gender-Pay-Gap-Report-2023.pdf,2023,29.86,32.11,42.47,50.62,15.33,15.26,-14.98,-9.52,39.2,53.4,100,80,34.78,65.22,14.13,85.87,6.52,93.48,5.38,94.62,15,85
"BAM Ireland: Civil",https://www.bamireland.ie/,Construction,https://www.bamireland.ie/wp-content/uploads/2023/12/BAM-Ireland-Gender-Pay-Gap-Report-2023.pdf,2023,24.42,19.75,42.8,24.86,,,,,20,37.9,98.5,73.4,46.67,53.33,35,65,31.67,68.33,19.67,80.33,33,67
"Bank of America",https://www.bankofamerica.com/,"Banking,Financial",https://about.bankofamerica.com/content/dam/about/report-center/gpgr/2023/Ireland-gender-pay-report-2023.pdf,2023,21.5,18.4,46,29.1,,,,,79.1,77.2,96.9,95.7,47,53,52,48,33,67,29,71,40,60
"Bank of Ireland (exluding subsidiaries)",https://www.bankofireland.com/,"Banking,Financial",https://personalbanking.bankofireland.com/app/uploads/BOI-Gender-Pay-Gap-GPG-2023-Final.pdf,2023,21,19.5,3,0,23.3,-21,-26.1,-7.1,0.8,1,95.6,95.9,65,35,63,37,58,42,38,62,56,44
"Barclays Bank Ireland Plc",https://privatebank.barclays.com/,"Banking,Financial",https://home.barclays/content/dam/home-barclays/documents/who-we-are/our-strategy/DandI/Ireland%20Pay%20Gap%20Report%202023.pdf,2023,33.1,21.3,57.2,26.7,,,,,88.6,84.4,94.7,97.8,58,42,38,62,37,63,35,65,,
"Baxter Healthcare Ireland",https://www.baxterhealthcare.ie/,"Technology,Hardware,Medical",https://www.baxterhealthcare.ie/sites/g/files/ebysai1646/files/2023-12/6626_Baxter_A4GenderPayGap_2023_01.pdf,2023,10.37,11.51,16.01,11.3,5.85,2.07,2.53,1.09,84.44,85.81,77.53,76.17,62.89,37.11,52.11,47.89,44.47,55.53,38.42,61.58,,
"BDO Ireland",https://www.bdo.ie/,"Financial,Accountancy",https://www.bdo.ie/getattachment/1e65ee6b-5bd9-4508-9f7b-493850c58ec0/BDO-Ireland-Gender-Pay-Gap-Report-2023.pdf,2023,11,-13,20,0,-10,-24,,,25,31,88,83,47,53,56,44,68,32,45,55,54,46
"Beacon Hospital",https://www.beaconhospital.ie/,Healthcare,https://www.beaconhospital.ie/wp-content/uploads/2024/01/Beacon-Hospital-Gender-Pay-Gap-Report-2023.pdf,2023,8.96,-3.15,35.62,0,18.1,-30.3,0.07,12.82,78.41,73.63,47.34,42.19,68.47,31.53,71.46,28.54,77.12,22.88,66.75,33.25,72,28
"Beaumont Hospital",http://www.beaumont.ie/,Healthcare,http://www.beaumont.ie/media/GenderPayGapReport20231.pdf,2023,20,2,,,16,-17,15,18,,,,,70,30,76,24,80,20,63,37,72,28
"Beckman Coulter Ireland Inc",https://www.beckman.com/contact-us/ireland,"Technology,Hardware,Medical",https://media.beckmancoulter.com/-/media/diagnostics/corporate/docs/pdfs/2022-2023_ireland_gender_pay_report.pdf?rev=1496283f8dca43088381ba7b77004182&hash=D6EC762A715E6C56EAB97AE640ACE4A7,2023,-7.2,-5.6,7.3,4.8,17.1,9,-6.7,-10,93,94.1,91.1,94.5,59.6,40.4,42.6,57.4,46,54,40.1,59.9,,
"Becton Dickinson Research Centre Ireland Limited",https://www.bd.com/en-eu/,"Technology,Hardware,Medical",https://www.bd.com/documents/international/corporate/Becton%20Dickinson%20Research%20Centre%20Ireland%20Limited%20Gender%20Pay%20Gap%20Report%202023.pdf,2023,5,6,1,0,,,,,77,80,,,35,65,46,54,29,71,19,81,,
"Becton Dickinson: ClearStream Technologies Limited",https://www.bd.com/en-eu/,"Pharmaceutical,Medical",https://web.archive.org/web/20240116132833/https://www.bd.com/documents/international/corporate/ClearStream%20Technologies%20Ltd%20Gender%20Pay%20Gap%20Report%202023.pdf,2023,5.4,3.7,40,18,,,,,88,88,,,56,44,57,43,46,54,50,50,,
"Bidvest Noonan",https://bidvestnoonan.ie/,"Facilities Services",https://bidvestnoonan.ie/wp-content/uploads/2024/01/Gender-Pay-Gap-2023-Ireland.pdf,2023,10.74,8.01,42.65,6.67,10.23,6.97,,,1.21,1.82,0.98,3.83,77.38,22.62,61.06,38.94,37.9,62.1,29.03,70.97,,
BioMarin,https://www.biomarin.com/,"Pharmaceutical,Medical",https://www.biomarin.eu/wp-content/uploads/2023/12/BioMarin-GenderPayGap-Report2023-d5.pdf,2023,11.4,-1.1,15.9,-23.8,,,,,92,94.2,99.2,99.4,52.1,47.9,34,66,45.8,54.2,41.7,58.3,43,57
"Blackrock Clinic",https://www.blackrockhealth.com/,Healthcare,https://www.blackrockhealth.com/sites/default/files/2023-12/cBC95_blackrock_health_gender_pay_gap_report_2023_v7.pdf,2023,9.35,-3.91,53.82,-8.33,14.56,7.26,15.36,9.34,6.1,8.93,0.12,0,71.88,28.13,77.38,22.62,83.21,16.79,70.41,29.59,75.55,24.45
"BMS (BMS Ireland)",https://www.bms.com/ie,"Pharmaceutical,Medical",https://www.bms.com/assets/bms/ireland/documents/Ireland%20Gender%20Pay%20Gap%20Report%202023.pdf,2023,18,13.9,23.4,9.4,,,18.2,-0.6,81.3,83.9,92.3,94.4,67.1,32.9,53.1,46.9,45.4,54.6,39.3,60.7,,
"BMS (Swords Laboratories Ireland)",https://www.bms.com/ie,"Pharmaceutical,Medical",https://www.bms.com/assets/bms/ireland/documents/Ireland%20Gender%20Pay%20Gap%20Report%202023.pdf,2023,18.6,14.2,24.2,8,,,18.6,-0.1,80.4,83.6,91.9,94.3,66.8,33.2,52.4,47.6,44.4,55.6,39.4,60.6,,
"BNY Mellon: Fund Services DAC",https://www.bnymellon.com/ie/en.html,Financial,https://www.bnymellon.com/content/dam/bnymellon/documents/pdf/emea/2023-gender-pay-gap-report-fsi-dac.pdf,2023,13,10,24,14,,,,,95,94,98,98,47,53,49,51,44,56,35,65,,
"BNY Mellon: SA/NV Dublin Branch",https://www.bnymellon.com/ie/en.html,Financial,https://www.bnymellon.com/content/dam/bnymellon/documents/pdf/emea/2023-gender-pay-gap-report-dublin.pdf,2023,23,10,48,22,,,,,93,95,97,98,62,38,52,48,59,41,46,54,,
"BOC Gases Ireland",https://www.boconline.ie/en/index.html,Manufacturing,https://www.boconline.ie/en/images/BOC-gender-pay-gap-report-Ireland_tcm674-673700.pdf,2023,9,8,12,-115,-110,-107,100,100,98,97,95,98,16,84,12,88,8,92,11,89,,
"Boliden Tara Mines",https://www.boliden.com/operations/mines/boliden-tara,Mining,https://www.boliden.com/4afbff/globalassets/operations/mines/tara/boliden-tara-mines-gender-pay-gap-report-2023-final.pdf,2023,18,23,47,33,,,25,20,9,71,84,91,19,81,8,92,4,96,2,98,8,92
